policy,sample,rmse,hotspot_recall,top_risk_precision,redundancy_rate
thompson,31,1.233353576489376,0.2333333333333334,0.5833333333333333,0.019354838709677403
thompson,32,1.2375739268868033,0.2416666666666667,0.5833333333333333,0.01875
thompson,33,1.2199955790517616,0.2416666666666667,0.5916666666666666,0.018181818181818167
thompson,34,1.2107143459070435,0.2416666666666667,0.5916666666666666,0.017647058823529415
thompson,35,1.1641184185901907,0.2416666666666667,0.5833333333333333,0.017142857142857147
thompson,36,1.1115625942939427,0.25833333333333336,0.6,0.016666666666666673
thompson,37,1.0913086363927742,0.2666666666666667,0.6,0.016216216216216182
thompson,38,1.084392099432321,0.2666666666666667,0.6083333333333333,0.01578947368421051
thompson,39,1.0752710968293195,0.2833333333333333,0.6083333333333333,0.015384615384615396
thompson,40,1.0741527782625002,0.2916666666666667,0.6083333333333333,0.015000000000000013
linucb_context,1,2.573145910628096,0.03333333333333333,0.21666666666666665,0.0
linucb_context,2,2.453686333221674,0.05833333333333333,0.275,0.1
linucb_context,3,2.395098755315251,0.06666666666666667,0.31666666666666665,0.2333333333333334
linucb_context,4,2.3988010168985534,0.06666666666666667,0.30833333333333335,0.25
linucb_context,5,2.318463322198198,0.06666666666666667,0.325,0.19999999999999996
linucb_context,6,2.1546276936372695,0.08333333333333334,0.3916666666666667,0.1666666666666666
linucb_context,7,2.0544749522319856,0.1,0.4416666666666667,0.18571428571428567
linucb_context,8,2.061307737645598,0.10833333333333332,0.4333333333333333,0.1875
linucb_context,9,1.9621036955328144,0.14166666666666666,0.4666666666666667,0.20000000000000004
linucb_context,10,1.8431619969617994,0.14999999999999997,0.5083333333333334,0.22999999999999998
linucb_context,11,1.7591362462370292,0.19166666666666665,0.4916666666666667,0.23636363636363633
linucb_context,12,1.6740401493955535,0.2166666666666667,0.5083333333333333,0.25
linucb_context,13,1.6440688587365724,0.2333333333333333,0.525,0.23846153846153845
linucb_context,14,1.5783429462971739,0.2666666666666667,0.5333333333333333,0.25
linucb_context,15,1.4692816020814348,0.3083333333333334,0.5499999999999999,0.26
linucb_context,16,1.434099057484239,0.32500000000000007,0.5666666666666667,0.2625
linucb_context,17,1.4190843672128959,0.3416666666666667,0.5833333333333333,0.2647058823529412
linucb_context,18,1.3796080041155652,0.3666666666666667,0.6,0.26111111111111107
linucb_context,19,1.3509762586855487,0.3833333333333334,0.625,0.27368421052631586
linucb_context,20,1.2969776727190396,0.3916666666666667,0.6166666666666667,0.275
linucb_context,21,1.3236659639222188,0.4166666666666667,0.6,0.2761904761904762
linucb_context,22,1.3233528939480002,0.4499999999999999,0.6,0.2863636363636364
linucb_context,23,1.267231160216489,0.4916666666666667,0.625,0.28260869565217395
linucb_context,24,1.2514829601595099,0.5166666666666667,0.6333333333333333,0.2875
linucb_context,25,1.22207638562294,0.5250000000000001,0.6416666666666667,0.28800000000000003
linucb_context,26,1.2127037483254435,0.5416666666666667,0.6333333333333334,0.29230769230769227
linucb_context,27,1.214691990614367,0.5833333333333333,0.625,0.30000000000000004
linucb_context,28,1.187748361498288,0.6249999999999999,0.625,0.29999999999999993
linucb_context,29,1.181801913864744,0.6333333333333333,0.6166666666666667,0.31034482758620696
linucb_context,30,1.1787177639649387,0.6499999999999999,0.6083333333333334,0.30999999999999994
linucb_context,31,1.1558820192569015,0.6666666666666666,0.6166666666666667,0.31290322580645163
linucb_context,32,1.1567586642333156,0.6749999999999999,0.6333333333333334,0.3125
linucb_context,33,1.1477964485604788,0.6833333333333333,0.6416666666666666,0.31818181818181823
linucb_context,34,1.1459844071357657,0.6916666666666667,0.6416666666666666,0.32352941176470584
linucb_context,35,1.1339443182907136,0.7,0.65,0.32857142857142857
linucb_context,36,1.0936866716590532,0.7083333333333333,0.6666666666666667,0.33333333333333337
linucb_context,37,1.0974807666492918,0.7166666666666666,0.6666666666666667,0.33783783783783783
linucb_context,38,1.0939393252179728,0.7166666666666666,0.6666666666666667,0.3447368421052632
linucb_context,39,1.0791902484500422,0.7249999999999999,0.6666666666666667,0.3487179487179487
linucb_context,40,1.0621297918495451,0.7333333333333332,0.6666666666666667,0.355
linucb_reconstruction,1,2.5700755610705657,0.03333333333333333,0.21666666666666665,0.0
linucb_reconstruction,2,2.431969144846235,0.05833333333333333,0.3,0.05
linucb_reconstruction,3,2.344467101424185,0.06666666666666667,0.3,0.16666666666666669
linucb_reconstruction,4,2.344542436431124,0.06666666666666667,0.3,0.225
linucb_reconstruction,5,2.1877491976005077,0.06666666666666667,0.3166666666666667,0.19999999999999996
linucb_reconstruction,6,2.13356360816454,0.06666666666666667,0.3416666666666667,0.1666666666666666
linucb_reconstruction,7,2.0285042871177366,0.09166666666666666,0.3833333333333333,0.17142857142857143
linucb_reconstruction,8,1.9527322679385093,0.11666666666666667,0.4083333333333333,0.1625
linucb_reconstruction,9,1.8379396087306925,0.14166666666666666,0.4166666666666667,0.18888888888888894
linucb_reconstruction,10,1.7249037432578038,0.16666666666666666,0.4833333333333334,0.21999999999999997
linucb_reconstruction,11,1.614848328884164,0.21666666666666665,0.4916666666666667,0.21818181818181817
linucb_reconstruction,12,1.5843369817906676,0.2333333333333333,0.5083333333333333,0.225
linucb_reconstruction,13,1.470309836442119,0.2666666666666667,0.5583333333333333,0.23076923076923075
linucb_reconstruction,14,1.5426145998922824,0.2833333333333333,0.5416666666666666,0.24285714285714283
linucb_reconstruction,15,1.5966849791315263,0.30833333333333335,0.575,0.2533333333333333
linucb_reconstruction,16,1.5475555853495297,0.30833333333333335,0.6083333333333334,0.25625
linucb_reconstruction,17,1.4715054134284362,0.3416666666666667,0.6083333333333334,0.2588235294117647
linucb_reconstruction,18,1.3035574483996577,0.37499999999999994,0.6166666666666667,0.2555555555555555
linucb_reconstruction,19,1.2297708922953299,0.4166666666666667,0.6333333333333334,0.25263157894736843
linucb_reconstruction,20,1.225429758138802,0.4333333333333333,0.6416666666666667,0.26999999999999996
linucb_reconstruction,21,1.2350646737864261,0.45,0.6333333333333333,0.27142857142857146
linucb_reconstruction,22,1.201077220233654,0.475,0.65,0.2772727272727273
linucb_reconstruction,23,1.1970213775300422,0.4916666666666666,0.6583333333333334,0.29130434782608694
linucb_reconstruction,24,1.1935218361604831,0.5,0.6583333333333334,0.2875
linucb_reconstruction,25,1.1867081774258814,0.5416666666666667,0.6666666666666667,0.2879999999999999
linucb_reconstruction,26,1.1748935676548222,0.5666666666666667,0.6583333333333333,0.2961538461538461
linucb_reconstruction,27,1.1652231762845495,0.5999999999999999,0.65,0.3
linucb_reconstruction,28,1.1520176849446817,0.6166666666666666,0.675,0.3107142857142857
linucb_reconstruction,29,1.1291505747687764,0.6416666666666666,0.6833333333333333,0.31034482758620696
linucb_reconstruction,30,1.0991046726538585,0.6499999999999999,0.6833333333333333,0.31333333333333335
linucb_reconstruction,31,1.07238403315499,0.6666666666666666,0.675,0.32258064516129037
linucb_reconstruction,32,1.1088917580836233,0.6916666666666667,0.6583333333333334,0.321875
linucb_reconstruction,33,1.0750953944575417,0.7,0.6583333333333334,0.33333333333333337
linucb_reconstruction,34,1.057575813261924,0.7083333333333333,0.675,0.3323529411764706
linucb_reconstruction,35,1.0554725533891516,0.7083333333333333,0.675,0.34285714285714286
linucb_reconstruction,36,1.056217789409148,0.7083333333333333,0.675,0.35833333333333334
linucb_reconstruction,37,1.0541938922238097,0.7166666666666666,0.6833333333333333,0.3648648648648648
linucb_reconstruction,38,1.0256947815619344,0.7249999999999999,0.7083333333333334,0.3684210526315789
linucb_reconstruction,39,1.017362937189272,0.7249999999999999,0.7166666666666667,0.37435897435897436
linucb_reconstruction,40,1.0173090147676043,0.7416666666666666,0.7083333333333334,0.375
greedy_oracle,1,2.5753484319237776,0.08333333333333334,0.5416666666666666,0.0
greedy_oracle,2,2.5990915880685983,0.16666666666666669,0.5416666666666666,0.0
greedy_oracle,3,2.4400808304734207,0.25,0.6083333333333333,0.0
greedy_oracle,4,2.350074007784721,0.33333333333333337,0.6083333333333333,0.0
greedy_oracle,5,2.1587165654858342,0.41666666666666663,0.5999999999999999,0.0
greedy_oracle,6,2.1450587891609283,0.5,0.6166666666666666,0.0
greedy_oracle,7,2.1118920431589414,0.5833333333333333,0.625,0.0
greedy_oracle,8,2.17495447143215,0.6666666666666667,0.6166666666666667,0.0
greedy_oracle,9,2.0662649780433266,0.75,0.5916666666666666,0.0
greedy_oracle,10,2.0526144487788534,0.8333333333333333,0.5833333333333333,0.0
greedy_oracle,11,1.7502619269611315,0.9166666666666666,0.6166666666666666,0.0
greedy_oracle,12,1.8667820950698886,1.0,0.525,0.0
